Age (bin),Date of hire,Date of last perf. Review,Date of termination,Dept,DOB,Employee ID,Employment status,Gender,Manager Name,Marital Status,Perf. Score,Position,Termination reason,Absences,Age,Emp. Sat.,Late days,Salary
50,9/15/2006,4/5/2019,,Sales,2/24/1968,100100,Active,M,Lyndon Johnson,Divorced,Exceeded Expectations,Area Sales Manager,NA - Still Employed,6,57,3,0,69145
40,5/28/2007,3/27/2019,,Operations,7/25/1982,100101,Active,M,David Clarke,Single,Met Expectations,Production Technician I,NA - Still Employed,7,43,4,0,51829
50,7/17/2007,9/11/2010,9/26/2010,Operations,10/16/1975,100102,Voluntarily Terminated,M,Will Bailey,Widowed,Met Expectations,Production Technician II,Sabbatical,4,50,5,5,71860
40,2/26/2008,10/1/2015,10/16/2015,Operations,5/15/1982,100103,Voluntarily Terminated,F,Brendan Pitt,Single,Improvement Needed,Production Technician I,Found a better Job,15,43,2,0,53111
30,7/8/2008,3/5/2019,,Operations,8/7/1989,100104,Active,F,Erik Baker,Married,Met Expectations,Production Technician I,NA - Still Employed,3,36,5,0,67170
30,11/16/2008,1/25/2019,,Admin,4/11/1988,100105,Active,F,Chris Clayton,Married,Met Expectations,Accountant I,NA - Still Employed,3,37,3,0,65989
50,4/30/2009,1/19/2013,2/3/2013,Operations,6/29/1975,100106,Voluntarily Terminated,F,Will Bailey,Married,Met Expectations,Production Technician I,Found a better Job,7,50,5,0,62633
50,5/2/2009,7/26/2018,8/10/2018,Operations,1/11/1975,100107,Voluntarily Terminated,M,Micheal Miller,Single,Met Expectations,Production Technician I,Relocated,4,50,5,0,48917
40,5/29/2009,8/30/2019,,Admin,1/8/1980,100108,Active,F,Board of Directors,Married,Met Expectations,Sr. Accountant,NA - Still Employed,5,45,4,0,100138
40,5/31/2009,4/24/2019,,Operations,4/24/1983,100109,Active,M,Jan Ramsey,Single,Exceeded Expectations,Director of Operations,NA - Still Employed,1,42,5,0,173406
50,7/3/2009,2/16/2019,,Operations,7/3/1971,100110,Active,F,Brendan Pitt,Single,Met Expectations,Production Technician I,NA - Still Employed,16,54,4,0,49852
40,8/14/2009,2/4/2019,,Operations,9/23/1978,100111,Active,F,Jan Ramsey,Married,Met Expectations,Production Manager,NA - Still Employed,10,47,5,0,63998
30,11/1/2009,7/31/2015,8/15/2015,Operations,7/18/1988,100112,Voluntarily Terminated,F,Micheal Miller,Single,Met Expectations,Production Technician II,Did not return from maternity,19,37,4,1,64302
50,1/25/2010,1/4/2019,,IT,12/31/1968,100113,Active,F,Wilson Davis,Single,Met Expectations,IT Support,NA - Still Employed,3,57,4,0,66288
50,5/3/2010,2/18/2019,,Operations,12/22/1973,100114,Active,F,Karen Linberg,Married,Met Expectations,Production Technician I,NA - Still Employed,12,52,4,0,65344
60,5/19/2010,5/17/2011,6/1/2011,Operations,12/20/1964,100115,Voluntarily Terminated,M,Brendan Pitt,Married,Improvement Needed,Production Technician II,Career Change,3,61,4,2,70488
40,8/14/2010,1/23/2019,,Operations,2/7/1976,100116,Active,M,Jan Ramsey,Divorced,Improvement Needed,Production Manager,NA - Still Employed,11,49,3,0,69926
40,9/29/2010,10/8/2011,10/23/2011,Operations,9/7/1979,100117,Voluntarily Terminated,M,David Clarke,Married,Met Expectations,Production Technician II,Career Change,1,46,4,0,63639
30,9/29/2010,10/16/2019,,Operations,5/17/1986,100118,Active,M,Lindsay Graham,Married,Met Expectations,Production Technician II,NA - Still Employed,7,39,4,0,60944
30,10/6/2010,2/25/2019,,Sales,9/12/1990,100119,Active,F,Jeff Newport,Married,Met Expectations,Area Sales Manager,NA - Still Employed,6,35,4,0,62951
40,10/27/2010,3/13/2019,,IT,3/13/1980,100120,Active,F,Jan Ramsey,Single,Exceeded Expectations,CIO,NA - Still Employed,1,45,5,0,223078
40,11/24/2010,5/4/2016,5/19/2016,Operations,3/9/1978,100121,Voluntarily Terminated,F,Jan Ramsey,Married,Met Expectations,Production Manager,Found a better Job,1,47,5,0,75269
50,1/31/2011,3/24/2019,,Operations,10/25/1968,100122,Active,M,Jan Ramsey,Divorced,Met Expectations,Production Manager,NA - Still Employed,3,57,4,0,91852
30,2/12/2011,2/3/2019,,IT,3/18/1989,100123,Active,F,Wilson Davis,Single,Exceeded Expectations,IT Support,NA - Still Employed,11,36,5,0,54924
30,2/13/2011,5/2/2013,5/17/2013,Software Engineering,1/20/1988,100124,Terminated for Cause,F,Alan Mitchell,Married,Improvement Needed,Software Engineer,Attendance,13,37,5,0,102856
40,2/21/2011,4/9/2017,4/24/2017,Operations,3/27/1982,100125,Terminated for Cause,M,Lindsay Graham,Single,Met Expectations,Production Technician I,Attendance,16,43,4,0,59248
40,2/21/2011,12/27/2012,1/11/2013,Operations,5/20/1977,100126,Voluntarily Terminated,F,Emily Albright,Divorced,Met Expectations,Production Technician II,Unhappy,2,48,3,5,72383
40,2/25/2011,10/4/2012,10/19/2012,Operations,4/29/1977,100127,Voluntarily Terminated,M,Jan Ramsey,Married,Improvement Needed,Production Manager,Unhappy,0,48,2,0,84207
40,3/3/2011,10/20/2014,11/4/2014,Operations,7/29/1983,100128,Voluntarily Terminated,F,Lindsay Graham,Divorced,Met Expectations,Production Technician I,Went for higher paying job,13,42,5,0,68052
40,3/12/2011,8/6/2015,8/21/2015,Software Engineering,2/24/1985,100129,Voluntarily Terminated,M,Jan Ramsey,Married,Met Expectations,Software Engineer,Career Change,1,40,4,0,88173
30,3/29/2011,1/31/2019,,Operations,6/24/1988,100130,Active,F,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,16,37,5,0,68954
50,4/12/2011,2/2/2019,,Operations,1/26/1971,100131,Active,F,Erik Baker,Single,Met Expectations,Production Technician I,NA - Still Employed,7,54,5,2,63131
30,4/21/2011,3/22/2019,,Operations,8/16/1991,100132,Active,F,Micheal Miller,Single,Improvement Needed,Production Technician II,NA - Still Employed,7,34,3,0,70912
70,4/21/2011,3/30/2015,4/14/2015,Operations,12/18/1951,100133,Voluntarily Terminated,F,Lindsay Graham,Divorced,Met Expectations,Production Technician II,Went for higher paying job,20,74,5,0,59291
30,4/27/2011,6/15/2017,6/30/2017,Operations,12/23/1991,100134,Voluntarily Terminated,F,Amanda Gregory,Married,Met Expectations,Production Technician I,Sabbatical,6,34,4,0,62335
30,4/28/2011,8/10/2018,8/25/2018,Operations,10/19/1987,100135,Voluntarily Terminated,M,Amanda Gregory,Single,Met Expectations,Production Technician I,Found a better Job,2,38,5,0,58170
40,4/30/2011,7/11/2019,,IT,3/7/1981,100136,Active,M,Jen Heinz,Single,Exceeded Expectations,IT Director,NA - Still Employed,9,44,5,0,179761
40,5/1/2011,9/14/2013,9/29/2013,Operations,9/7/1983,100137,Voluntarily Terminated,F,Karen Linberg,Married,Met Expectations,Production Technician II,Career Change,2,42,3,0,58973
30,5/7/2011,8/5/2012,8/20/2012,Operations,10/23/1986,100138,Voluntarily Terminated,F,Emily Albright,Married,Met Expectations,Production Technician II,Found a better Job,17,39,5,0,72433
50,5/7/2011,5/12/2016,5/27/2016,Operations,1/29/1966,100139,Voluntarily Terminated,F,Emily Albright,Single,Met Expectations,Production Technician I,Higher education,8,59,4,0,48682
40,5/9/2011,9/19/2018,10/4/2018,Operations,3/8/1982,100140,Voluntarily Terminated,F,Micheal Miller,Married,Met Expectations,Production Technician I,Unhappy,13,43,4,0,56229
50,5/16/2011,6/24/2015,7/9/2015,Operations,5/28/1966,100141,Voluntarily Terminated,M,Emily Albright,Married,Met Expectations,Production Technician I,Unhappy,12,59,3,0,57913
40,5/17/2011,8/11/2016,8/26/2016,Operations,10/6/1978,100142,Voluntarily Terminated,M,Will Bailey,Married,Met Expectations,Production Technician I,Unhappy,5,47,5,0,57684
40,5/17/2011,3/30/2018,4/14/2018,Operations,7/31/1985,100143,Voluntarily Terminated,F,Amanda Gregory,Divorced,Met Expectations,Production Technician I,Found a better Job,14,40,5,0,47779
50,5/18/2011,7/21/2012,8/5/2012,Operations,4/29/1972,100144,Voluntarily Terminated,M,Amanda Gregory,Married,Met Expectations,Production Technician II,Found a better Job,4,53,5,0,59484
30,5/18/2011,1/22/2019,,Sales,5/4/1992,100145,Active,F,Jeff Newport,Married,Met Expectations,Area Sales Manager,NA - Still Employed,2,33,3,0,58847
40,5/21/2011,1/28/2019,,Operations,11/28/1983,100146,Active,M,Micheal Miller,Single,Exceeded Expectations,Production Technician I,NA - Still Employed,17,42,5,0,63768
70,5/22/2011,7/26/2017,8/10/2017,Operations,10/27/1953,100147,Voluntarily Terminated,F,Erik Baker,Married,Met Expectations,Production Technician II,Found a better Job,15,72,4,4,74380
30,5/24/2011,4/4/2013,4/19/2013,Operations,9/2/1986,100148,Voluntarily Terminated,F,Karen Linberg,Married,Exceeded Expectations,Production Technician II,Went for higher paying job,11,39,5,0,60722
30,5/25/2011,9/28/2015,10/13/2015,Operations,4/28/1990,100149,Voluntarily Terminated,F,Emily Albright,Married,Improvement Needed,Production Technician II,Unhappy,3,35,5,4,62084
40,5/25/2011,7/1/2013,7/16/2013,Operations,5/19/1982,100150,Voluntarily Terminated,F,Brendan Pitt,Married,Met Expectations,Production Technician II,Unhappy,9,43,5,0,65545
30,5/29/2011,11/19/2012,12/4/2012,Operations,7/29/1988,100151,Voluntarily Terminated,M,Brendan Pitt,Married,Met Expectations,Production Technician I,Went for higher paying job,5,37,3,0,64961
30,5/30/2011,9/17/2012,10/2/2012,Operations,4/29/1989,100152,Voluntarily Terminated,F,Amanda Gregory,Married,Met Expectations,Production Technician II,Attendance,11,36,3,0,65562
40,6/2/2011,10/24/2019,,Operations,2/27/1978,100153,Active,F,David Clarke,Married,Met Expectations,Production Technician I,NA - Still Employed,7,47,4,0,54799
30,6/5/2011,3/17/2019,,Operations,5/4/1987,100154,Active,F,Karen Linberg,Divorced,Exceeded Expectations,Production Technician II,NA - Still Employed,19,38,4,0,62790
30,6/6/2011,10/13/2015,10/28/2015,Operations,11/12/1986,100155,Voluntarily Terminated,F,Emily Albright,Single,Met Expectations,Production Technician I,Health,2,39,5,0,49136
40,6/12/2011,3/14/2019,,Operations,9/19/1983,100156,Active,F,Lindsay Graham,Single,Met Expectations,Production Technician I,NA - Still Employed,1,42,4,5,56908
40,6/15/2011,1/11/2016,1/26/2016,Operations,7/21/1983,100157,Voluntarily Terminated,M,Erik Baker,Divorced,Met Expectations,Production Technician I,Retired,1,42,4,0,45764
60,6/17/2011,2/15/2019,,Sales,1/21/1964,100158,Active,M,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,15,61,3,0,68889
40,7/6/2011,11/29/2014,12/14/2014,Operations,4/30/1979,100159,Voluntarily Terminated,F,Erik Baker,Married,Met Expectations,Production Technician I,Found a better Job,9,46,5,0,63920
40,7/7/2011,10/31/2015,11/15/2015,Operations,12/2/1983,100160,Voluntarily Terminated,F,Emily Albright,Single,Met Expectations,Production Technician I,Relocated,5,42,5,0,66057
40,7/20/2011,3/14/2019,,Operations,10/30/1979,100161,Active,M,Amanda Gregory,Single,Met Expectations,Production Technician II,NA - Still Employed,4,46,5,0,56380
50,7/21/2011,11/23/2016,12/8/2016,Operations,3/26/1971,100162,Voluntarily Terminated,F,Erik Baker,Divorced,Met Expectations,Production Technician I,Attendance,15,54,4,0,54318
50,7/23/2011,1/27/2019,,Sales,7/8/1969,100163,Active,M,Jeff Newport,Single,Met Expectations,Area Sales Manager,NA - Still Employed,20,56,5,0,71734
30,7/23/2011,4/19/2014,5/4/2014,Sales,9/9/1990,100164,Voluntarily Terminated,F,Diane Singer,Single,Met Expectations,Sales Manager,Did not return from maternity,17,35,5,0,69954
40,7/24/2011,6/24/2015,7/9/2015,Software Engineering,2/27/1979,100165,Voluntarily Terminated,M,Alan Mitchell,Single,Exceeded Expectations,Software Engineer,Found a better Job,3,46,5,0,110865
50,7/26/2011,11/22/2015,12/7/2015,Operations,1/7/1974,100166,Voluntarily Terminated,F,Will Bailey,Single,Exceeded Expectations,Production Technician I,Found a better Job,1,51,5,0,52125
60,7/29/2011,5/29/2016,6/13/2016,Operations,2/16/1956,100167,Voluntarily Terminated,F,Will Bailey,Married,Met Expectations,Production Technician I,Sabbatical,2,69,3,0,59918
30,8/4/2011,8/24/2019,,Operations,10/1/1992,100168,Active,M,David Clarke,Married,Met Expectations,Production Technician II,NA - Still Employed,8,33,3,0,58315
40,8/18/2011,4/7/2014,4/22/2014,Operations,11/16/1985,100169,Voluntarily Terminated,M,Brendan Pitt,Single,Improvement Needed,Production Technician II,Unhappy,15,40,2,0,59415
40,8/28/2011,6/21/2012,7/6/2012,Operations,10/26/1984,100170,Voluntarily Terminated,F,Micheal Miller,Married,Met Expectations,Production Technician II,Relocated,3,41,5,0,66458
50,8/31/2011,2/11/2019,,Software Engineering,12/5/1966,100171,Active,M,Jen Heinz,Single,Met Expectations,Software Engineering Manager,NA - Still Employed,11,59,3,0,80060
60,9/14/2011,1/25/2014,2/9/2014,Sales,10/19/1964,100172,Voluntarily Terminated,F,Jeff Newport,Married,Met Expectations,Area Sales Manager,Found a better Job,2,61,5,0,78713
60,10/5/2011,1/24/2012,2/8/2012,Operations,3/28/1956,100173,Voluntarily Terminated,F,Jan Ramsey,Married,Met Expectations,Production Manager,Found a better Job,7,69,4,0,83449
30,10/7/2011,2/3/2019,,Sales,11/12/1988,100174,Active,F,Lyndon Johnson,Single,Exceeded Expectations,Area Sales Manager,NA - Still Employed,2,37,5,0,76217
40,10/7/2011,9/3/2018,9/18/2018,Operations,2/1/1979,100175,Voluntarily Terminated,F,Amanda Gregory,Single,Met Expectations,Production Technician I,Higher education,20,46,3,0,67154
50,10/9/2011,3/28/2014,4/12/2014,Operations,2/13/1967,100176,Voluntarily Terminated,F,Erik Baker,Single,Met Expectations,Production Technician II,Career Change,15,58,5,0,60304
40,10/9/2011,1/25/2014,2/9/2014,Operations,10/11/1985,100177,Voluntarily Terminated,F,Emily Albright,Single,Met Expectations,Production Technician II,Unhappy,8,40,3,0,79546
40,10/9/2011,7/15/2018,7/30/2018,Operations,12/21/1985,100178,Voluntarily Terminated,M,Micheal Miller,Divorced,Met Expectations,Production Technician I,Went for higher paying job,19,40,5,0,62744
30,10/11/2011,1/10/2018,1/25/2018,Operations,8/29/1988,100179,Voluntarily Terminated,M,Will Bailey,Single,Improvement Needed,Production Technician I,Career Change,8,37,5,0,57326
50,10/13/2011,3/29/2015,4/13/2015,Operations,8/23/1973,100180,Voluntarily Terminated,F,Will Bailey,Married,Met Expectations,Production Technician I,Went for higher paying job,12,52,5,0,57276
50,10/15/2011,8/29/2019,,IT,10/14/1974,100181,Active,F,Wilson Davis,Married,Met Expectations,IT Support,NA - Still Employed,9,51,3,0,70253
30,10/17/2011,6/1/2016,6/16/2016,Operations,6/15/1986,100182,Terminated for Cause,F,Karen Linberg,Married,Improvement Needed,Production Technician I,Attendance,4,39,4,0,62113
40,10/18/2011,11/5/2011,11/20/2011,Operations,1/16/1982,100183,Voluntarily Terminated,F,David Clarke,Divorced,Met Expectations,Production Technician II,Higher education,16,43,4,0,69268
50,10/20/2011,12/26/2015,1/10/2016,Operations,11/10/1972,100184,Terminated for Cause,M,Jan Ramsey,Married,Met Expectations,Production Manager,Attendance,13,53,4,0,83025
50,10/21/2011,1/12/2016,1/27/2016,Operations,10/31/1974,100185,Voluntarily Terminated,M,Emily Albright,Married,Met Expectations,Production Technician I,Attendance,18,51,3,0,53758
30,10/22/2011,1/7/2016,1/22/2016,Operations,6/30/1986,100186,Voluntarily Terminated,F,Erik Baker,Married,Met Expectations,Production Technician I,Unhappy,6,39,5,0,65014
30,10/22/2011,8/2/2016,8/17/2016,Operations,7/9/1986,100187,Terminated for Cause,F,Lindsay Graham,Married,Exceeded Expectations,Production Technician I,Misconduct,0,39,5,0,53981
30,10/23/2011,4/3/2014,4/18/2014,Operations,9/26/1989,100188,Voluntarily Terminated,M,Will Bailey,Single,Met Expectations,Production Technician I,Higher education,6,36,3,0,55143
50,10/26/2011,6/15/2013,6/30/2013,Operations,5/6/1973,100189,Voluntarily Terminated,F,Lindsay Graham,Single,Met Expectations,Production Technician II,Attendance,0,52,4,0,70476
50,10/26/2011,8/25/2014,9/9/2014,Operations,8/26/1970,100190,Voluntarily Terminated,F,Emily Albright,Married,Met Expectations,Production Technician I,Went for higher paying job,2,55,5,0,47650
30,10/26/2011,9/30/2013,10/15/2013,Admin,7/2/1987,100191,Voluntarily Terminated,F,Chris Clayton,Married,Met Expectations,Administrative Assistant,Career Change,7,38,4,0,55026
50,10/28/2011,12/13/2017,12/28/2017,Operations,4/10/1975,100192,Voluntarily Terminated,F,David Clarke,Married,Met Expectations,Production Technician I,Found a better Job,13,50,5,0,56216
40,10/28/2011,7/9/2019,,Operations,9/29/1982,100193,Active,F,Amanda Gregory,Divorced,Met Expectations,Production Technician I,NA - Still Employed,4,43,4,0,50064
40,10/30/2011,2/7/2019,,Operations,3/27/1980,100194,Active,M,Brendan Pitt,Married,Met Expectations,Production Technician I,NA - Still Employed,3,45,4,0,65890
30,10/30/2011,5/18/2014,6/2/2014,Operations,12/13/1987,100195,Voluntarily Terminated,M,Will Bailey,Single,Met Expectations,Production Technician I,Attendance,7,38,5,0,60315
40,10/31/2011,5/2/2012,5/17/2012,Operations,12/29/1983,100196,Voluntarily Terminated,F,Karen Linberg,Divorced,Met Expectations,Production Technician I,Found a better Job,12,42,5,0,61234
50,11/15/2011,3/12/2019,,Operations,6/21/1970,100197,Active,M,Brendan Pitt,Divorced,Exceeded Expectations,Production Technician I,NA - Still Employed,5,55,4,0,62950
30,11/20/2011,6/11/2016,6/26/2016,Operations,12/6/1989,100198,Voluntarily Terminated,F,Will Bailey,Divorced,Met Expectations,Production Technician I,Higher education,2,36,4,0,51333
40,11/21/2011,9/20/2016,10/5/2016,Operations,6/28/1980,100199,Terminated for Cause,M,Amanda Gregory,Single,Improvement Needed,Production Technician I,Performance issues,4,45,4,0,61737
40,12/6/2011,3/5/2019,,Operations,7/26/1977,100200,Active,F,Micheal Miller,Married,Met Expectations,Production Technician I,NA - Still Employed,4,48,5,0,56007
50,12/15/2011,11/21/2019,,Operations,8/24/1974,100201,Active,F,Will Bailey,Married,Exceeded Expectations,Production Technician I,NA - Still Employed,17,51,5,0,48522
40,2/5/2012,4/5/2013,4/20/2013,Operations,1/9/1985,100202,Voluntarily Terminated,M,Amanda Gregory,Married,Met Expectations,Production Technician II,Went for higher paying job,3,40,3,0,66325
50,2/7/2012,2/8/2019,,Operations,8/22/1971,100203,Active,M,Emily Albright,Single,Met Expectations,Production Technician I,NA - Still Employed,1,54,3,0,52668
40,2/13/2012,10/4/2018,10/19/2018,Operations,9/29/1983,100204,Terminated for Cause,M,Micheal Miller,Single,Improvement Needed,Production Technician I,Attendance,20,42,5,0,61149
30,2/16/2012,3/3/2019,,Operations,11/8/1986,100205,Active,F,David Clarke,Single,Met Expectations,Production Technician I,NA - Still Employed,11,39,5,0,46999
40,2/18/2012,2/20/2019,,Operations,9/28/1976,100206,Active,F,Jan Ramsey,Married,Met Expectations,Production Manager,NA - Still Employed,2,49,5,0,65715
50,2/19/2012,10/27/2016,11/11/2016,Operations,3/19/1969,100207,Voluntarily Terminated,F,Lindsay Graham,Single,Met Expectations,Production Technician I,Found a better Job,16,56,5,0,63520
40,2/21/2012,2/5/2019,,Operations,1/17/1980,100208,Active,M,David Clarke,Married,Met Expectations,Production Technician I,NA - Still Employed,6,45,3,0,50033
50,2/22/2012,7/8/2015,7/23/2015,Operations,8/20/1975,100209,Voluntarily Terminated,M,Will Bailey,Married,Improvement Needed,Production Technician I,Sabbatical,4,50,4,0,57873
70,2/22/2012,1/26/2019,,Executive Office,10/26/1954,100210,Active,F,Board of Directors,Married,Met Expectations,President & CEO,NA - Still Employed,5,71,3,0,253971
30,2/23/2012,6/29/2013,7/14/2013,Operations,7/6/1991,100211,Voluntarily Terminated,F,David Clarke,Married,Met Expectations,Production Technician I,Found a better Job,19,34,4,0,55536
40,2/25/2012,3/19/2019,,Operations,4/11/1979,100212,Active,F,Erik Baker,Married,Met Expectations,Production Technician I,NA - Still Employed,9,46,3,0,60946
40,2/26/2012,2/20/2019,,Operations,8/19/1983,100213,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician I,NA - Still Employed,3,42,5,0,62162
50,2/29/2012,9/16/2016,10/1/2016,Operations,1/17/1975,100214,Voluntarily Terminated,M,Amanda Gregory,Married,Met Expectations,Production Technician I,Unhappy,14,50,3,0,47720
40,3/2/2012,2/12/2019,,Operations,6/17/1980,100215,Active,F,Brendan Pitt,Married,Met Expectations,Production Technician II,NA - Still Employed,9,45,4,0,76485
30,3/4/2012,2/24/2019,,IT,8/3/1986,100216,Active,M,Jen Heinz,Married,Improvement Needed,IT Manager - Infra,NA - Still Employed,6,39,3,0,158441
30,3/12/2012,7/2/2019,,Operations,9/11/1987,100217,Active,F,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,3,38,5,0,55676
30,3/16/2012,2/10/2019,,Sales,1/15/1988,100218,Active,F,Jeff Newport,Single,Improvement Needed,Area Sales Manager,NA - Still Employed,19,37,2,0,59541
50,3/21/2012,3/13/2019,,Operations,2/5/1969,100219,Active,F,Brendan Pitt,Married,Improvement Needed,Production Technician I,NA - Still Employed,9,56,2,4,64665
30,5/16/2012,3/12/2019,,IT,1/3/1986,100220,Active,M,Wilson Davis,Single,Met Expectations,IT Support,NA - Still Employed,5,39,3,2,69787
30,5/17/2012,1/23/2019,,Sales,5/8/1990,100221,Active,M,Jeff Newport,Single,Met Expectations,Area Sales Manager,NA - Still Employed,17,35,4,0,58077
30,5/18/2012,2/27/2019,,Software Engineering,5/8/1987,100222,Active,F,Alan Mitchell,Married,Met Expectations,Software Engineer,NA - Still Employed,6,38,3,0,87488
40,5/19/2012,3/6/2019,,Operations,4/26/1982,100223,Active,M,Erik Baker,Married,Met Expectations,Production Technician I,NA - Still Employed,1,43,3,0,69122
30,5/21/2012,2/16/2019,,Sales,5/5/1989,100224,Active,M,Jeff Newport,Divorced,Met Expectations,Area Sales Manager,NA - Still Employed,1,36,4,0,71299
50,5/23/2012,2/16/2019,,Operations,10/30/1973,100225,Active,F,David Clarke,Single,Met Expectations,Production Technician I,NA - Still Employed,2,52,3,0,63524
50,5/23/2012,2/11/2019,,Operations,8/28/1968,100226,Active,F,Erik Baker,Single,Met Expectations,Production Technician I,NA - Still Employed,19,57,5,0,61791
40,5/29/2012,3/12/2019,,Operations,7/8/1980,100227,Active,F,Emily Albright,Single,Met Expectations,Production Technician II,NA - Still Employed,9,45,4,0,66227
70,6/11/2012,8/27/2013,9/11/2013,Operations,3/9/1953,100228,Voluntarily Terminated,F,Will Bailey,Married,Met Expectations,Production Technician II,Unhappy,5,72,3,0,72485
50,6/13/2012,2/8/2019,,Sales,6/17/1971,100229,Active,M,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,7,54,5,0,69698
50,7/5/2012,11/15/2014,11/30/2014,Sales,11/29/1969,100230,Voluntarily Terminated,M,Jeff Newport,Single,Met Expectations,Area Sales Manager,Relocated,8,56,5,0,74534
40,8/13/2012,11/25/2019,,Operations,12/23/1984,100231,Active,M,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,0,41,5,0,50388
30,8/21/2012,5/3/2016,5/18/2016,Operations,9/29/1987,100232,Voluntarily Terminated,M,Amanda Gregory,Divorced,Exceeded Expectations,Production Technician I,Did not return from maternity,2,38,5,0,61823
40,8/23/2012,1/12/2015,1/27/2015,Operations,4/29/1980,100233,Voluntarily Terminated,F,Erik Baker,Single,Improvement Needed,Production Technician I,Career Change,16,45,3,0,51902
50,9/1/2012,6/12/2015,6/27/2015,Operations,8/5/1969,100234,Voluntarily Terminated,F,Karen Linberg,Single,Met Expectations,Production Technician I,Relocated,11,56,5,0,63104
40,9/3/2012,1/25/2019,,Operations,12/16/1981,100235,Active,M,Jan Ramsey,Single,Met Expectations,Production Manager,NA - Still Employed,1,44,3,0,84682
60,9/10/2012,4/10/2015,4/25/2015,IT,11/13/1964,100236,Voluntarily Terminated,M,Jen Heinz,Divorced,Met Expectations,IT Manager - DB,Attendance,5,61,5,0,151583
40,9/11/2012,7/10/2019,,Operations,8/2/1977,100237,Active,F,Emily Albright,Single,Exceeded Expectations,Production Technician I,NA - Still Employed,5,48,5,0,61782
30,9/13/2012,1/12/2019,,Sales,2/17/1989,100238,Active,F,Lyndon Johnson,Married,Met Expectations,Area Sales Manager,NA - Still Employed,11,36,5,0,63755
70,9/22/2012,12/9/2015,12/24/2015,Operations,6/12/1953,100239,Voluntarily Terminated,F,Will Bailey,Single,Met Expectations,Production Technician I,Retired,4,72,4,0,55350
40,9/26/2012,2/16/2019,,Software Engineering,12/23/1979,100240,Active,F,Alan Mitchell,Single,Met Expectations,Software Engineer,NA - Still Employed,5,46,5,3,103050
40,9/26/2012,2/12/2019,,Operations,3/2/1977,100241,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician II,NA - Still Employed,2,48,5,0,74046
